Tub,Building,Unknown,kBtu.00,MTCDE.00,kBtu.01,MTCDE.01,kBtu.02,MTCDE.02,kBtu.03,MTCDE.03,kBtu.04,MTCDE.04,kBtu.05,MTCDE.05,kBtu.06,MTCDE.06,kBtu.07,MTCDE.07,kBtu.08,MTCDE.08,kBtu.09,MTCDE.09,kBtu.10,MTCDE.10,kBtu.11,MTCDE.11,kBtu.12,MTCDE.12,kBtu.13,MTCDE.13,kBtu.14,MTCDE.14,kBtu.15,MTCDE.15,kBtu.16,MTCDE.16,kBtu.17,MTCDE.17,kBtu.18,MTCDE.18,kBtu.19,MTCDE.19,kBtu.20,MTCDE.20,kBtu.21,MTCDE.21
340,Palmer Dixon Courts (03900; B-863),23897,1588567,131.1,3070338,233.1,3405072,258.9,4149999,307.3,3708180,280.4,3124381,238.6,2922718,220.6,2263254,170.6,3429824,255.4,2807508,213.8,1941879,155.4,2379094,182.1,2555560,197.3,3116745,235.6,2534613,192.8,3178018,235.0,2567810,191.6,3115840,228.3,3094732,226.6,3382236,246.7,2557499,187.2,1510398,108.5
340,Soldiers Field Fence & Grounds (03820; B-858),,768,0.1,389,0.0,894,0.1,631,0.1,41,0.0,51,0.0,471,0.1,51,0.0,78,0.0,,,65,0.0,258903,29.6,131182,15.0,-2010965,-229.9,-1425598,-162.9,-1728731,-197.6,-1844425,-210.8,-1758313,-201.0,-1548874,-177.0,-1603780,-183.3,-1932214,-220.9,-1150129,-131.5
340,Stadium (03910; B-859),49410,839120,95.9,749657,85.7,632865,72.3,1067431,122.0,1336753,152.8,1202460,137.4,1052138,120.3,2242100,256.3,10434320,730.9,7664730,552.8,5076446,378.0,8286402,621.1,6140501,497.5,8059321,607.0,9955639,745.0,11246922,811.1,10209743,728.1,12584848,909.9,13728280,966.3,7450383,598.6,11475581,845.1,1480399,169.2
340,Weld Boat House (03915; B-861),26513,596058,48.7,2291505,172.1,1753523,133.4,2285340,172.7,2049876,155.4,1897259,144.9,1675202,128.2,1530425,116.8,1682467,127.7,1613601,122.3,1417833,108.0,1795110,135.6,1355048,103.1,1607066,121.8,1852255,140.7,1785474,135.7,1355889,102.9,1603397,121.9,1622597,122.5,1802946,135.6,1465116,110.4,340124,26.6
340,155 North Harvard Street Building Ang Ga (01310; B-981),5210,,,,,,,,,,,,,,,3831200,203.8,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
355,51 Brattle Street (04021; B-220),46188,3241571,370.5,3417016,390.6,4231051,483.6,4461207,509.9,3730698,426.4,3273125,374.1,3218758,367.9,3351099,383.0,3616693,413.4,3293355,376.4,3112373,355.8,3324817,380.0,3304502,377.7,3268068,373.5,2809079,321.1,2833205,323.8,2890662,330.4,2754572,314.9,2990988,341.9,3042788,344.4,3805581,338.0,1961158,175.2
355,53 Church Street (04022; B-377),12734,,,,,,,,,874086,99.9,1344437,153.7,1314528,150.3,1426588,163.1,1479880,169.2,1354438,154.8,1264279,144.5,1208124,138.1,1208824,138.2,1246281,142.5,982779,112.3,969571,110.8,1055725,120.7,1013436,115.8,943807,107.9,991771,113.4,1068351,122.1,610445,69.8
355,53 Church Street (06005; B-365),10203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200,0.9,627100,33.4,215600,11.5
370,17 Sumner Road (04255; B-359),4911,302875,21.5,317920,22.0,262607,19.1,393005,25.4,315665,20.2,331769,21.8,260022,18.3,383790,21.5,298315,18.5,263901,17.3,294934,16.2,254474,16.1,207538,13.8,231022,15.5,268790,17.4,251179,16.5,230540,15.8,251226,16.1,245563,15.8,267673,17.1,228009,15.7,117298,8.1
370,1727 Cambridge Street (04260; B-846),8725,680144,39.6,733443,42.1,642037,37.7,36996,3.8,,,,,120375,13.8,104817,12.0,97447,11.1,94990,10.9,86249,9.9,100661,11.5,87542,10.0,83004,9.5,74904,8.6,68632,7.8,59840,6.8,55930,6.4,53667,6.1,69287,7.9,66183,7.6,25566,2.9
370,2 Divinity Avenue Yenching Library (04265; B-322),70760,3837364,289.4,4355730,329.0,3848495,301.1,4401750,327.8,3906805,291.9,3655091,275.5,3774820,286.9,4058261,307.0,4103559,313.7,4343575,326.6,3460025,267.8,3686570,278.5,2978891,228.0,2999772,226.7,3282481,244.1,3339811,247.9,3017947,224.9,3252706,238.4,3669129,266.1,4383735,307.3,3151918,230.8,2254192,156.3
370,20 Garden Street (04270; B-998),18615,1063212,112.8,1208560,118.8,1454974,132.2,1963099,161.7,2146737,184.6,1980666,180.5,2520323,229.5,2984040,280.9,2751016,257.6,2367903,240.8,2072082,216.5,2118996,218.6,2053381,217.3,2041966,211.7,1892753,189.2,1057522,93.7,867246,76.8,1023117,87.6,722869,74.7,763757,75.3,925705,84.8,311800,26.4
370,219 Western Avenue (06039; B-844),94340,88316,10.1,329964,37.7,372010,42.5,358304,41.0,363122,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,34 Kirkland Street (04275; B-327),6250,383966,29.3,442746,33.7,367139,29.0,503012,39.2,476389,36.3,483908,35.6,436223,28.6,368996,24.1,424084,29.3,387728,28.0,325387,23.8,207783,17.3,258035,20.5,374189,26.1,433180,29.6,435818,30.4,350192,26.6,374573,28.0,367151,26.7,381016,26.5,331920,23.1,109875,7.8
370,38 Kirkland Street (04280; B-349),10358,157002,14.9,318106,26.5,299749,24.8,361484,29.4,368349,29.6,356516,28.9,334742,37.0,446171,38.3,491443,37.5,429708,35.0,329262,25.3,537689,40.7,375115,28.2,396694,29.2,376717,29.4,484385,38.3,349564,26.4,385608,27.9,424759,31.7,413844,26.1,381716,24.5,162642,9.6
370,5 Bryant Street (04285; B-328),10290,482177,33.1,584912,38.5,481362,33.3,609350,39.9,533452,35.8,514898,35.1,568897,37.2,496341,32.6,524434,34.9,530007,34.6,470354,32.1,530757,33.6,374191,25.1,453191,29.3,546275,35.1,554513,35.6,463093,30.6,484670,31.4,529397,33.2,502951,31.0,424990,26.5,131048,8.4
370,60 Kennedy Street (04290; B-329),7359,486666,41.4,483287,41.8,426762,37.9,529817,45.4,512292,44.8,515560,44.9,532619,47.1,485817,42.4,501075,43.3,489416,40.5,445854,37.4,431573,37.2,330244,28.7,322456,27.6,293423,25.8,411184,33.3,348316,29.0,386203,31.8,403571,34.2,405024,33.4,363290,29.3,241098,18.1
370,61 Kirkland Street (04295; B-358),7509,661935,47.3,693060,48.3,510336,39.2,711811,54.9,683302,51.1,688657,49.8,627010,46.8,511925,37.0,510774,36.6,531058,37.0,438523,30.0,450264,30.8,403643,30.1,579025,38.8,538783,34.8,532882,33.9,452527,30.1,448017,29.0,450401,29.7,448229,29.1,474959,30.3,180837,11.2
370,69 Dunster Street (04300; B-369),2646,150265,13.3,162041,13.6,144209,12.0,155581,13.1,146289,13.3,158125,14.0,94328,6.9,99424,8.0,104972,8.8,109791,8.5,104918,7.2,110175,7.4,113780,7.5,103739,7.1,120458,8.4,130008,8.5,98721,6.6,106735,6.9,104935,6.8,114253,8.0,95429,6.5,40813,2.6
370,7 Bryant Street (04305; B-351),11052,552516,34.1,599114,36.9,514841,32.3,478602,31.7,548428,34.7,579277,36.4,433767,26.0,487583,29.1,478637,28.2,597676,38.5,577228,37.9,629601,41.4,566713,38.2,637854,43.0,697894,46.5,487018,28.5,402153,23.2,414188,23.8,445289,25.5,555740,33.7,511090,31.1,267337,16.9
370,74 Mount Auburn Street (04310; B-415),8438,540606,43.4,806849,69.1,699408,59.1,723985,61.6,516058,45.5,420667,39.1,397293,38.3,453799,42.7,385276,38.0,402181,38.5,826168,66.9,545355,47.5,345423,33.0,301545,30.2,311365,30.9,592518,44.6,535096,39.9,554864,40.6,606246,42.7,656482,46.0,555334,39.8,179694,12.4
